route_id,route_short_name,route_long_name,route_type
Vivek_Test14,Vivek_Test14,10th Cross Lingadhiranahalli ⇔ 10th Cross Magadi Road,3
215-NE ANP11-KMT-VSD,215-NE,11th Block Anjanapura ⇔ Vidhana Soudha,3
215-NE ANP11-MNRV-VSD,215-NE,11th Block Anjanapura ⇔ Vidhana Soudha,3
VLO1-KGR,VLO1-KGR,1st Block Vishweshwaraiah Layout ⇔ Kengeri Bus Station,3
2KVP-JHE,2KVP-JHE,2nd stage Kuvempunagara ⇔ Jalahalli East,3
285-MC YSTF-NES-DBP,285-MC,5th Phase Yelahanka New Town ⇔ Doddaballapura Bus Stand,3
280-F YSTF-HSK,280-F,5th Phase Yelahanka New Town ⇔ Hosakote Bus Stand (Old),3
507-D,507-D,5th Phase Yelahanka New Town ⇔ KR Pura Govt Hospital,3
402-B YSTF-VSD-SBS,402-B,5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,3
G-9 SBS-YSTF,G-9 SBS-YSTF,5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,3
302 KLN-SBS,302 KLN-SBS,80 feet Road Kalyananagara ⇔ Shivajinagara Bus Station,3
BC-7C,BC-7C,8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,3
BC-7CA,BC-7CA,8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,3
250-DD,250-DD,8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli Arrival,3
515-B BEML5-8TH MILE,515-B,8th Mile Dasarahalli ⇔ BEML Layout 5th stage,3
BC-7B,BC-7B,8th Mile Dasarahalli ⇔ Byadarahalli,3
8THM-D315,8THM-D315,8th Mile Dasarahalli ⇔ Depot-31 Gate,3
BC-7E,BC-7E,8th Mile Dasarahalli ⇔ Gangondanahalli,3
BC-7H,BC-7H,8th Mile Dasarahalli ⇔ Herohalli Cross,3
BC-7B 8thM-KMT,BC-7B,8th Mile Dasarahalli ⇔ KR Market (Kalasipalya),3
