stop_id,stop_name,stop_lat,stop_lon
26089,(Theneyuru)I Basapura Gate,13.22602,77.83624
29374,10th Cross Lingadhiranahalli,13.00951,77.47431
20558,10th Cross Magadi Road,12.97556,77.55562
20559,10th Cross Magadi Road,12.97574,77.55706
29375,10th Stone NICE Road,12.87273,77.4986
35415,10th Stone NICE Road,12.87242,77.49865
29373,11th Block Anjanapura,12.85225,77.57235
35416,11th Block Anjanapura,12.85224,77.57265
21629,12th Block Nagarabhavi,12.96018,77.51398
21630,12th Block Nagarabhavi,12.96076,77.51351
22869,12th Main 7th Cross BTM Layout,12.91393,77.61007
22873,13th Main 7th Cross BTM Layout,12.914,77.61002
20568,14th Main HSR Layout,12.91637,77.63472
20569,14th Main HSR Layout,12.91619,77.63521
29381,14th Main HSR Layout,12.91972,77.63844
35422,14th Main HSR Layout,12.91966,77.63831
22881,16th Main Hopcoms BTM Layout,12.91971,77.61036
22884,17th Main Hopcoms BTM Layout,12.91953,77.61028
22890,18th Main Jayanagara,12.92328,77.58898
23428,18th Main Jayanagara,12.92343,77.58964
22891,19th Main 13th Cross HSR Layout,12.91593,77.65176
24300,19th Main 13th Cross HSR Layout,12.91582,77.65175
20575,1st Block Rajajinagara,13.0047,77.54909
20576,1st Block Rajajinagara,13.00515,77.54887
39193,1st Block Rajajinagara,13.00592,77.54867
21631,1st Block Vidyaranyapura,13.07024,77.55543
21632,1st Block Vidyaranyapura,13.07023,77.55539
29392,1st Block Vishweshwaraiah Layout,12.93746,77.47873
35600,1st Block Vishweshwaraiah Layout,12.93748,77.47888
20577,1st Cross Magadi Road,12.97569,77.563
20578,1st Cross Magadi Road,12.97569,77.5628
29393,1st Main Kodichikkanahalli,12.89854,77.61543
35599,1st Main Kodichikkanahalli,12.89847,77.6155
22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli),12.95302,77.52026
22897,1st Stage 3rd Block Nagarabhavi (Summanahalli),12.95286,77.52017
29395,1st Stage HBR Layout,13.02116,77.6263
29400,2nd Stage  H B R Layout (2nd Cross),13.03172,77.61208
35596,2nd Stage 11th Block Nagarabhavi,12.97754,77.51333
35595,2nd Stage 9th Block Nagarabhavi,12.96864,77.51027
29399,2nd Stage H B R Layout (1st Main),13.02881,77.61556
35594,2nd Stage H B R Layout (1st Main),13.02881,77.61553
35593,2nd Stage HBR Layout (2nd Cross),13.03165,77.61209
22907,2nd Stage Kanteeravanagara,13.01505,77.53901
29402,2nd stage Kuvempunagara,13.07313,77.54132
35591,2nd stage Kuvempunagara,13.07306,77.54142
21446,3rd Block Jayanagara,12.9318,77.58393
21447,3rd Block Jayanagara,12.93349,77.58396
21633,3rd Block Vidyaranyapura,13.0723,77.55641
21634,3rd Block Vidyaranyapura,13.07226,77.55635
22684,3rd Main Road Annapoorneshwarinagara,12.97816,77.50434
22688,3rd Main Road Annapoorneshwarinagara,12.97811,77.50446
29404,3rd Stage Basaveshwaranagara,12.98912,77.54249
35589,3rd Stage Basaveshwaranagara,12.98898,77.54254
29406,4th Block HBR Layout,13.03437,77.63268
35587,4th Block HBR Layout,13.03435,77.63264
29407,4th Phase Yelahanka New Town Iyengar Bakery,13.10426,77.57
35586,4th Stone NICE Road,13.009,77.47509
22918,4th T Block Jayanagara,12.92317,77.59363
24180,4th T Block Jayanagara,12.9229,77.59341
29409,5th Block HBR Layout,13.03585,77.63142
35585,5th Block HBR Layout,13.03582,77.6315
22920,5th Block Jayanagara,12.91727,77.58359
22921,5th Block Jayanagara,12.91727,77.58367
35584,5th Block Vishweshwaraiah Layout,12.95838,77.4816
20584,5th Cross Magadi Road,12.97567,77.56081
20585,5th Cross Magadi Road,12.97578,77.56071
22923,5th Cross Sriramapura,12.99214,77.56647
22925,5th Phase Yelahanka New Town,13.10575,77.57251
29412,5th Stone NICE Road,12.97116,77.47145
20586,6th Block Rajajinagara,12.97944,77.55359
20587,6th Block Rajajinagara,12.97953,77.55377
22929,7th Cross Wilson Garden,12.94699,77.59436
23661,7th Cross Wilson Garden,12.94684,77.59465
20588,80 feet Road Kalyananagara,13.02564,77.6406
21450,80 feet Road Kalyananagara,13.02546,77.64042
29419,80ft Road Banasawadi,13.01538,77.6429
35575,80ft Road Banasawadi,13.01511,77.64267
29420,80ft Road HRBR Layout,13.02095,77.64317
35574,80ft Road HRBR Layout,13.02035,77.64328
22937,80ft Road MS Ramaiah College,13.02752,77.57571
22108,8th Main 3rd Cross  Junction,13.02248,77.63714
22109,8th Main 3rd Cross  Junction,13.02274,77.6373
20591,8th Main Kamalanagara,12.99178,77.53856
20592,8th Main Kamalanagara,12.99163,77.53839
20593,8th Mile Dasarahalli,13.04622,77.50755
20594,8th Mile Dasarahalli,13.04541,77.50795
35570,8th Mile Dasarahalli,13.0451,77.50748
35571,8th Mile Dasarahalli,13.04547,77.50553
35572,8th Mile Dasarahalli,13.04544,77.50547
38567,8th Mile Dasarahalli,13.04571,77.50753
39687,8th Mile Dasarahalli Arrival,13.04556,77.50726
37132,9th Block Jayanagara,12.91964,77.5928
22949,9th Block Jayanagara (22nd Main),12.91969,77.59144
22950,9th Block Jayanagara (40th Cross),12.91969,77.59247
29424,9th Stone NICE Road,12.88789,77.48532
37131,9th block Jayanagara,12.91957,77.59284
29453,A G Export Garments Nelamangala,13.12046,77.39237
35538,A G Export Garments Nelamangala,13.12048,77.39242
21652,A P J Abdul Kalam Statue,12.97972,77.65404
21653,A P J Abdul Kalam Statue,12.97977,77.65418
38855,ADMC Quarters Office,13.0053,77.64117
29450,AECS Dental College,12.86536,77.59832
35541,AECS Dental College,12.8654,77.59836
20595,AECS Layout Cross,12.96495,77.71832
20596,AECS Layout Cross,12.96511,77.71827
29451,AECS Layout Singasandra,12.88306,77.64991
35540,AECS Layout Singasandra,12.88286,77.65018
29461,AGS Layout,12.95173,77.47919
35533,AGS Layout,12.95163,77.47921
29462,AGS Layout Arehalli,12.91246,77.53706
35532,AGS Layout Arehalli,12.91246,77.537
23014,AGS Layout Cross,12.91347,77.54088
24342,AGS Layout Cross,12.91353,77.54088
29463,AIR FORCE Quarters,13.05899,77.52141
35531,AIR FORCE Quarters,13.05895,77.52139
29474,AL Ameen Residential School,13.06983,77.80832
35521,AL Ameen Residential School,13.0696,77.80836
37331,AL-Agro Factory,12.98777,77.88168
37332,AL-Agro Factory,12.98697,77.88059
23060,AMC College,12.82938,77.58759
24134,AMC College,12.83005,77.58779
29549,APCO Factory,12.76209,77.47036
35454,APCO Factory,12.76195,77.47044
29550,APMC Yard,13.10494,77.44396
35453,APMC Yard,13.10488,77.44388
23134,APS College,12.78276,77.49966
23632,APS College,12.78272,77.4995
39681,APS College Cross,12.78284,77.49959
39682,APS College Cross,12.78637,77.50249
38962,ARMY PUBLIC SCHOOL (Parachute Regiment),13.01651,77.58615
23190,ASC Centre,12.96239,77.61892
23930,ASC Centre,12.96248,77.61903
29426,Aane Kempegowdana Doddy,12.86158,77.33503
35856,Aane Kempegowdana Doddy,12.86152,77.33503
23396,Abbaiah Circle Sarjapura,12.85975,77.79411
23418,Abbaiah Circle Sarjapura,12.8597,77.79409
29428,Abbanakuppe,12.77419,77.4095
35564,Abbanakuppe,12.77413,77.40941
29429,Abbanakuppe Colony,12.77126,77.41627
35563,Abbanakuppe Colony,12.77123,77.41632
30920,Abbanakuppe KEB,12.78775,77.42874
33404,Abbanakuppe KEB,12.78773,77.42856
29430,Abbigere,13.07696,77.52587
35562,Abbigere,13.07692,77.52589
29431,Abbigere Cross,13.07068,77.52978
35561,Abbigere Cross,13.07069,77.52981
29432,Abbigere Dinne,13.07106,77.52803
35560,Abbigere Dinne,13.07099,77.52801
29433,Abbigere Gate,13.07248,77.52353
35559,Abbigere Gate,13.07243,77.52355
22965,Acharya College,13.00234,77.48822
22966,Acharya College,13.00238,77.48823
29434,Acharya Institute of Technology,13.08354,77.4841
35558,Acharya Institute of Technology,13.08351,77.48416
29435,Achyuthanagara Gate,13.0842,77.48657
35557,Achyuthanagara Gate,13.08416,77.48656
29437,Adakamaranahalli (Magadi Road),12.94707,77.31056
39571,Adakamaranahalli (Magadi Road),12.94705,77.31051
29438,Adakamaranahalli Cross (Magadi Road),12.95445,77.30923
35554,Adakamaranahalli Cross (Magadi Road),12.9544,77.30926
21639,Adakimaranahalli,13.07065,77.4449
29439,Adakimaranahalli,13.07028,77.44482
29442,Adarshanagara,13.07619,77.42374
35552,Adarshanagara,13.07621,77.42378
29443,Adarshanagara Water Tank,13.07467,77.42052
29444,Adde Vishwanathapura,13.18672,77.55112
35550,Adde Vishwanathapura,13.18669,77.5511
29445,Addiganahalli,13.17297,77.56958
35549,Addiganahalli,13.17292,77.56963
22981,Addiganahalli Extension,13.1728,77.57126
31347,Addiganahalli Extension 1,13.17288,77.57123
22982,Adigara Kallahalli,12.8252,77.80356
23391,Adigara Kallahalli,12.82534,77.8033
29446,Adigondanahalli,12.81457,77.75116
35548,Adigondanahalli,12.81456,77.75126
25578,Adigondanahalli Junction,12.80604,77.74276
32772,Adigondanahalli Junction,12.80604,77.74266
37049,Adishwara Bombay Dying,13.02126,77.55609
39104,Aditya Bakery,12.90354,77.51078
39105,Aditya Bakery,12.90351,77.51069
38161,Adrsha Savana,13.20862,77.60376
38162,Adrsha Savana,13.20859,77.60381
29448,Adugodi,12.94387,77.6077
35544,Adugodi,12.94397,77.60748
35546,Adugodi,12.94384,77.60761
22990,Adugodi Police Station,12.93897,77.60976
23802,Adugodi Police Station,12.93985,77.6095
22992,Aduru,13.05553,77.7058
22993,Aduru,12.73303,77.65433
22994,Aduru,12.73301,77.6544
22995,Aduru,13.05535,77.70589
36662,Aduru,12.73318,77.657
29452,Aerospace Bagalur,13.17289,77.73066
35539,Aerospace Bagalur,13.17277,77.73058
29454,Agalakote,13.21292,77.73612
35537,Agalakote,13.21287,77.73615
23002,Agara,12.8429,77.4863
23003,Agara,12.84479,77.48713
23004,Agara,12.84477,77.48709
31348,Agara,12.84288,77.48626
21640,Agara Cross,12.84887,77.5221
21641,Agara Cross,12.84892,77.52196
20597,Agara Junction,12.92433,77.65073
20598,Agara Junction,12.92452,77.65028
24000,Agara Junction,12.92464,77.64937
35769,Agara Junction,12.92468,77.64998
38120,Agara Junction,12.92417,77.65075
38462,Agara Junction,12.9239,77.65172
20599,Agrahara Dasarahalli,12.97853,77.54293
20600,Agrahara Dasarahalli,12.97874,77.54121
29456,Agrahara Layout,13.09837,77.62683
35535,Agrahara Layout,13.09838,77.62671
31848,Agrahara Layout Cross,13.10248,77.6277
31849,Agraharapalya Gate,13.13071,77.45347
35686,Agraharapalya Gate,13.13065,77.45343
36061,Ainahalli,13.25849,77.38757
36062,Ainahalli,13.2585,77.38762
29464,Air Lines Dhaba Gate,13.22276,77.74085
35530,Air Lines Dhaba Gate,13.2225,77.74086
39704,Air force Gate Ashwathnagara,13.02684,77.57964
29465,Airport Trumpet,13.19908,77.65792
35529,Airport Trumpet,13.19905,77.6582
29467,Ajjagondahalli,12.95709,77.76839
35527,Ajjagondahalli,12.95705,77.76842
29468,Ajjanahalli,12.9167,77.3865
35526,Ajjanahalli,12.91666,77.38648
29469,Ajmeer Apartment Neeladri Road,12.84185,77.64673
35525,Ajmeer Apartment Neeladri Road,12.84181,77.64675
23022,Akkayammana Betta,13.16162,77.64223
29470,Akkayammana Betta Huttanahalli Cross,13.16165,77.64227
29471,Akkipete Devanahalli,13.25413,77.67796
35524,Akkipete Devanahalli,13.25414,77.67798
23668,Akkithimmanahalli,12.96186,77.59789
31349,Akkithimmanahalli,12.96194,77.5978
29472,Akshayanagara,13.02072,77.68339
35523,Akshayanagara,13.02068,77.68354
29473,Akshayanagara New Town,12.87657,77.61101
35522,Akshayanagara New Town,12.87657,77.61166
29475,Aladamara Chikkanahalli Cross,12.72813,77.64802
35520,Aladamara Chikkanahalli Cross,12.72807,77.648
29476,Aladamara Laggere,13.01327,77.52095
35519,Aladamara Laggere,13.01332,77.52098
21451,Aladamara Papareddypalya,12.97525,77.50947
21642,Aladamara Papareddypalya,12.97518,77.5096
25681,Alahalli,13.27752,77.52158
32821,Alahalli,13.27749,77.52162
29477,Alambadi,12.89273,77.88659
