route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
104,1,40000,Kempegowda Bus Station,1,104 DOWN
104,1,40001,Kempegowda Bus Station,1,104 DOWN
104,1,40002,Kempegowda Bus Station,1,104 DOWN
104,1,40003,Kempegowda Bus Station,1,104 DOWN
104,1,40004,Kempegowda Bus Station,1,104 DOWN
104,1,40005,Kempegowda Bus Station,1,104 DOWN
104,1,40006,Kempegowda Bus Station,1,104 DOWN
104,1,39993,Sadashivanagara,0,104 UP
104,1,39994,Sadashivanagara,0,104 UP
104,1,39995,Sadashivanagara,0,104 UP
104,1,39996,Sadashivanagara,0,104 UP
104,1,39997,Sadashivanagara,0,104 UP
104,1,39998,Sadashivanagara,0,104 UP
104,1,39999,Sadashivanagara,0,104 UP
107-C D14G-SBS,1,39915,Depot-14 Gate,1,107-C D14G-SBS DOWN
107-C D14G-SBS,1,39916,Depot-14 Gate,1,107-C D14G-SBS DOWN
107-C D14G-SBS,1,39917,Depot-14 Gate,1,107-C D14G-SBS DOWN
107-C D14G-SBS,1,39918,Depot-14 Gate,1,107-C D14G-SBS DOWN
107-C D14G-SBS,1,39919,Depot-14 Gate,1,107-C D14G-SBS DOWN
107-C D14G-SBS,1,39912,Shivajinagara Bus Station,0,107-C D14G-SBS UP
107-C D14G-SBS,1,39913,Shivajinagara Bus Station,0,107-C D14G-SBS UP
107-C D14G-SBS,1,39914,Shivajinagara Bus Station,0,107-C D14G-SBS UP
111,1,15487,KR Market,1,111 DOWN
111,1,15488,KR Market,1,111 DOWN
111,1,15489,KR Market,1,111 DOWN
111,1,15490,KR Market,1,111 DOWN
111,1,15491,KR Market,1,111 DOWN
111,1,15492,KR Market,1,111 DOWN
111,1,15493,KR Market,1,111 DOWN
111,1,15494,KR Market,1,111 DOWN
111,1,15495,KR Market,1,111 DOWN
111,1,15496,KR Market,1,111 DOWN
111,1,15497,KR Market,1,111 DOWN
111,1,15498,KR Market,1,111 DOWN
111,1,15499,KR Market,1,111 DOWN
111,1,15500,KR Market,1,111 DOWN
111,1,15501,KR Market,1,111 DOWN
111,1,15502,KR Market,1,111 DOWN
111,1,15503,KR Market,1,111 DOWN
111,1,15504,KR Market,1,111 DOWN
111,1,15505,KR Market,1,111 DOWN
111,1,15506,KR Market,1,111 DOWN
111,1,15507,KR Market,1,111 DOWN
111,1,15508,KR Market,1,111 DOWN
111,1,15509,KR Market,1,111 DOWN
111,1,15510,KR Market,1,111 DOWN
111,1,15511,KR Market,1,111 DOWN
111,1,15512,KR Market,1,111 DOWN
111,1,15513,KR Market,1,111 DOWN
111,1,15514,KR Market,1,111 DOWN
111,1,15515,KR Market,1,111 DOWN
111,1,15516,KR Market,1,111 DOWN
111,1,15517,KR Market,1,111 DOWN
111,1,15518,KR Market,1,111 DOWN
111,1,15519,KR Market,1,111 DOWN
111,1,15520,KR Market,1,111 DOWN
